time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-03-04T07:54:23.150Z,23.019,70.484,10,4.8,mb,52,,,1.16,us,usp000aaw7,2020-09-18T18:16:16.856Z,"27 km E of K?ndla, India",earthquake,,,,24,reviewed,us,us
2001-03-02T21:56:47.740Z,23.391,70.232,10,4.4,mb,16,,,1.31,us,usp000aasp,2014-11-07T01:12:17.316Z,"15 km NW of Bhach?u, India",earthquake,,,,4,reviewed,us,us
2001-03-01T15:51:17.330Z,23.279,70.465,10,4.3,mb,19,,,1.14,us,usp000aapw,2014-11-07T01:12:16.217Z,"12 km E of Bhach?u, India",earthquake,,,,4,reviewed,us,us
2001-03-01T00:53:16.060Z,23.236,70.276,10,4.5,mb,18,,,1.24,us,usp000aan5,2020-09-18T18:16:06.698Z,"9 km SW of Bhach?u, India",earthquake,,,,3,reviewed,us,us
2001-02-28T14:33:39.090Z,23.283,70.285,27.6,4.3,mb,12,,,0.97,us,usp000aaks,2014-11-07T01:12:13.391Z,"6 km WSW of Bhach?u, India",earthquake,,,,2,reviewed,us,us
2001-02-22T02:13:00.210Z,23.329,70.291,10,4.7,mb,66,,,0.96,us,usp000aa3c,2020-09-18T18:14:49.003Z,"6 km WNW of Bhach?u, India",earthquake,,,,36,reviewed,us,us
2001-02-19T15:05:58.190Z,23.473,70.581,10,4.1,mb,8,,,1.43,us,usp000a9xz,2014-11-07T01:12:10.325Z,"12 km SSW of R?par, India",earthquake,,,,1,reviewed,us,us
2001-02-19T09:21:58.590Z,23.523,70.102,10,4.2,mb,14,,,1.22,us,usp000a9xe,2014-11-07T01:12:10.254Z,"34 km NW of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2001-02-19T08:24:20.160Z,23.568,70.072,10,5.4,mwc,155,,,1.1,us,usp000a9xc,2022-04-29T19:13:29.570Z,"40 km NW of Bhach?u, India",earthquake,,,,,reviewed,us,hrv
2001-02-19T02:11:09.380Z,23.517,70.107,10,4.6,mb,56,,,1.12,us,usp000a9wv,2020-09-18T18:14:05.869Z,"34 km NW of Bhach?u, India",earthquake,,,,25,reviewed,us,us
2001-02-18T16:46:19.710Z,24.072,69.7,10,4.5,mb,11,,,1.32,us,usp000a9w6,2020-09-18T18:13:57.527Z,"45 km SSE of Diplo, Pakistan",earthquake,,,,3,reviewed,us,us
2001-02-17T08:27:25.200Z,23.359,70.451,10,4.8,mb,67,,,1.05,us,usp000a9sm,2020-09-18T18:13:49.203Z,"12 km ENE of Bhach?u, India",earthquake,,,,33,reviewed,us,us
2001-02-15T10:04:36.390Z,23.272,70.293,10,4.7,mb,67,,,0.97,us,usp000a9pb,2020-09-18T18:13:33.601Z,"5 km WSW of Bhach?u, India",earthquake,,,,33,reviewed,us,us
2001-02-15T07:22:47.700Z,23.232,70.229,10,4,mb,10,,,1.33,us,usp000a9p5,2014-11-07T01:12:08.871Z,"13 km WSW of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2001-02-15T05:38:30.830Z,23.251,70.29,10,4.8,mb,7,,,0.66,us,usp000a9p2,2020-09-18T18:13:25.410Z,"7 km SW of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2001-02-11T23:39:41.380Z,23.342,70.301,10,3.8,mb,8,,,1.22,us,usp000a9gq,2014-11-07T01:12:07.936Z,"6 km NW of Bhach?u, India",earthquake,,,,3,reviewed,us,us
2001-02-11T15:29:39.050Z,23.274,70.311,10,4.5,mb,13,,,1.42,us,usp000a9g5,2020-09-18T18:12:43.499Z,"4 km SW of Bhach?u, India",earthquake,,,,2,reviewed,us,us
2001-02-11T10:48:32.220Z,23.273,70.177,10,3.9,mb,7,,,1.22,us,usp000a9fw,2014-11-07T01:12:07.823Z,"17 km W of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2001-02-11T02:33:17.650Z,23.219,70.512,10,4.6,mb,52,,,1.2,us,usp000a9ev,2020-09-18T18:12:35.456Z,"19 km ESE of Bhach?u, India",earthquake,,,,24,reviewed,us,us
2001-02-10T05:37:32.450Z,23.572,70.434,10,3.8,mb,12,,,1.4,us,usp000a9d0,2014-11-07T01:12:07.364Z,"21 km W of R?par, India",earthquake,,,,2,reviewed,us,us
2001-02-09T12:37:01.780Z,23.357,70.371,10,4.8,mb,14,,,1.3,us,usp000a9bc,2020-09-18T18:12:19.498Z,"7 km NNE of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2001-02-09T10:07:38.890Z,23.639,70.019,10,4.7,mb,40,,,1.12,us,usp000a9b5,2020-09-18T18:12:11.229Z,"50 km NW of Bhach?u, India",earthquake,,,,12,reviewed,us,us
2001-02-08T16:54:41.020Z,23.654,70.425,10,5.1,ms,62,,,1.19,us,usp000a99q,2020-09-18T18:12:02.802Z,"24 km WNW of R?par, India",earthquake,,,,2,reviewed,us,us
2001-02-08T09:33:08.770Z,23.338,70.459,10,4.3,mb,24,,,0.74,us,usp000a993,2014-11-07T01:12:06.799Z,"12 km ENE of Bhach?u, India",earthquake,,,,7,reviewed,us,us
2001-02-08T03:25:54.140Z,23.357,70.293,10,4.4,mb,27,,,1.06,us,usp000a98g,2014-11-07T01:12:06.646Z,"8 km NW of Bhach?u, India",earthquake,,,,6,reviewed,us,us
2001-02-05T02:59:36.100Z,23.515,70.048,10,4.7,mb,41,,,1.03,us,usp000a93c,2020-09-18T18:11:46.120Z,"38 km NW of Bhach?u, India",earthquake,,,,10,reviewed,us,us
2001-02-04T17:23:13.720Z,23.351,70.307,10,4.4,mb,41,,,1.03,us,usp000a92m,2014-11-07T01:12:05.522Z,"6 km NNW of Bhach?u, India",earthquake,,,,13,reviewed,us,us
2001-02-04T15:34:06.300Z,23.465,70.107,10,4.4,mb,19,,,1.22,us,usp000a92e,2014-11-07T01:12:05.491Z,"30 km NW of Bhach?u, India",earthquake,,,,6,reviewed,us,us
2001-02-04T04:50:33.980Z,23.248,70.092,10,4.1,mb,22,,,0.72,us,usp000a916,2014-11-07T01:12:05.263Z,"Gujarat, India",earthquake,,,,3,reviewed,us,us
2001-02-04T04:47:24.350Z,23.519,70.126,10,4.5,mb,24,,,1.04,us,usp000a914,2020-09-18T18:11:37.575Z,"32 km NW of Bhach?u, India",earthquake,,,,5,reviewed,us,us
2001-02-03T10:06:36.900Z,23.2,70.088,10,4.5,mb,24,,,1.06,us,usp000a8z5,2020-09-18T18:11:21.329Z,"11 km NNE of Anj?r, India",earthquake,,,,5,reviewed,us,us
2001-02-03T09:19:37.980Z,23.403,69.999,10,3.9,mb,13,,,0.87,us,usp000a8z3,2014-11-07T01:12:04.840Z,"32 km N of Anj?r, India",earthquake,,,,2,reviewed,us,us
2001-02-03T03:04:32.890Z,23.655,70.435,10,5.3,mb,250,,,1.02,us,usp000a8yc,2022-04-29T19:07:07.388Z,"23 km WNW of R?par, India",earthquake,,,,117,reviewed,us,us
2001-02-01T22:29:34.710Z,23.48,70.185,10,4.6,mb,32,,,1.23,us,usp000a8vm,2020-09-18T18:11:12.896Z,"25 km NW of Bhach?u, India",earthquake,,,,11,reviewed,us,us
2001-02-01T22:20:48.340Z,23.197,70.204,10,4.2,mb,19,,,1.16,us,usp000a8vj,2014-11-07T01:12:03.858Z,"14 km NNE of G?ndh?dh?m, India",earthquake,,,,6,reviewed,us,us
2001-02-01T21:06:58.080Z,23.165,70.365,10,4.1,mb,13,,,1.34,us,usp000a8vc,2014-11-07T01:12:03.739Z,"14 km S of Bhach?u, India",earthquake,,,,4,reviewed,us,us
